,,,,,,,,
,ENTERPRISE PIPELINE TRACKER,,,,,,,
,ACV = Monthly x 12 | Month 3 Payment = 3x Monthly,,,,,,,
,,,,,,,,
,Client,Monthly Fee,12-Mo ACV,Stage,Prob.,Weighted,Sign,Month 3
,Horizon Media,"$100,000","$1,200,000",Negotiation,60%,"$720,000",Feb,Apr
,Newell / Bubba,"$75,000","$900,000",Proposal,50%,"$450,000",Feb,Apr
,Marc Jacobs,"$66,667","$800,004",Proposal,40%,"$320,002",Mar,May
,Saatchi / Toyota,"$83,333","$999,996",Discovery,25%,"$249,999",Apr,Jun
,Havas,"$62,500","$750,000",Discovery,20%,"$150,000",May,Jul
,Amazon,"$125,000","$1,500,000",Lead,10%,"$150,000",Q3,Q4
,Vice,"$50,000","$600,000",Lead,15%,"$90,000",Q2,Q3
,Crispin Porter,"$58,333","$699,996",Lead,10%,"$70,000",Q3,Q4
,TOTAL,,"$7,449,996",,,"$2,200,000",,
,,,,,,,,
,PIPELINE METRICS,,,,,,,
,Total Pipeline (ACV),"$7,449,996",,,,,,
,Weighted Pipeline,"$2,200,000",,,,,,
,Avg Deal ACV,"$931,250",,,,,,
,Pipeline Coverage (vs $7M),1.1x,,,,,,
,,,,,,,,
,WHYGO GAP ANALYSIS,,,,,,,
,Current pipeline deals: 8,,,,,,,
,WhyGO target specs: 18,,,,,,,
,Gap: 10 more specs needed,,,,,,,
